a-family-man-2017_Matt Zoller Seitz,2.0,-1,-1,-2,-1,-1,-1,-1,2,-1,-1,-1,-2,-1,-1,-1,1,-1,-1,-1,-1,-2,1,0,1,1,1,-1,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,
a-fantastic-fear-of-everything-2012_Sheila O&#39;Malley,2.5,0,0,1,-1,1,-1,-1,-1,2,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-2,-1,-1,-1,-1,1,-1,-1,-2,-1,2,0,-1,-1,-1,1,-1,2,
a-farewell-to-fools-2014_Sheila O&#39;Malley,1.5,-1,-2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,1,0,0,-1,-1,-1,1,-1,1,-1,
a-field-in-england-2013_Matt Zoller Seitz,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,
a-five-star-life-2014_Odie Henderson,3.0,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,0,-1,1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,2,
a-fragile-trust-plagiarism-power-and-jayson-blair-at-the-new-york-times-2014_Matt Zoller Seitz,3.0,0,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-2,1,-1,-1,1,1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,1,0,
a-gay-girl-in-damascus-the-amina-profile-2015_Sheila O&#39;Malley,3.0,-1,-1,-1,-1,0,-2,-1,-1,1,1,-1,-1,1,1,1,-1,1,2,0,1,-1,0,-1,0,-1,0,0,0,1,-1,-1,1,-1,-1,-1,-1,0,0,0,1,-1,0,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,
a-ghost-story-2017_Matt Zoller Seitz,4.0,-1,0,-1,0,-1,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,2,1,1,
a-girl-walks-home-alone-at-night-2014_Sheila O&#39;Malley,3.5,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,0,0,0,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,1,2,-1,-1,0,1,1,1,-1,0,-1,1,
a-good-marriage-2014_Brian Tallerico,1.5,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,0,-1,-1,1,1,0,0,0,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,
a-gray-state-2017_Godfrey Cheshire,3.0,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,1,1,-1,1,-1,0,-1,-1,-1,-1,0,-1,1,-1,1,-1,1,0,0,0,-1,-1,-1,0,-1,1,0,-1,-1,1,
a-hard-day-2015_Brian Tallerico,3.0,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,0,-1,-1,0,0,-1,1,1,1,-1,0,1,0,-1,1,-1,-1,-1,0,1,1,
a-haunted-house-2-2014_Odie Henderson,0.5,-1,-2,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-2,-2,-1,1,-1,-1,-1,-1,-1,0,1,1,-1,0,-1,1,-1,-1,0,-1,
a-hologram-for-the-king-2016_Nick Allen,3.0,2,-1,0,0,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1,
a-lego-brickumentary-2015_Peter Sobczynski,2.5,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,1,
a-letter-to-momo-2014_Brian Tallerico,3.0,1,-1,1,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-2,1,
a-life-in-dirty-movies-2014_Odie Henderson,3.0,1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,-1,-1,0,0,1,-1,0,1,0,-1,-1,0,-1,-1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,1,-1,1,
a-light-beneath-their-feet-2016_Matt Fagerholm,4.0,-1,-1,-2,-1,-1,1,-1,-1,-1,1,-2,-1,-1,1,-1,-1,0,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-2,-1,-1,1,-1,-1,-1,-2,1,-1,-1,0,1,1,1,1,1,
a-long-way-down-2014_Brian Tallerico,1.5,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,0,-1,1,1,-1,-1,-1,1,
a-man-called-ove-2016_Odie Henderson,3.5,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,-1,2,1,2,0,-1,
a-master-builder-2014_Peter Sobczynski,3.0,1,-1,1,-1,-1,-1,0,-1,-2,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,-1,1,1,1,
a-merry-friggin-christmas-2014_Matt Zoller Seitz,1.5,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,1,-1,-1,0,1,0,-1,-1,1,
a-million-ways-to-die-in-the-west-2014_Brian Tallerico,1.0,-1,0,-1,-2,1,0,-1,-1,-2,-1,-1,-1,0,-1,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,
a-monster-calls-2016_Glenn Kenny,3.0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-2,-1,-1,-1,-1,-1,1,1,1,
a-monster-with-a-thousand-heads-2016_Godfrey Cheshire,4.0,-1,2,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-2,-1,0,-1,1,-1,0,1,-1,-1,1,1,1,1,1,
a-most-violent-year-2014_Matt Zoller Seitz,3.0,-1,1,-1,1,-1,1,-1,-1,1,2,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-2,-1,0,2,-1,-1,-1,1,-1,-1,1,-1,-2,-1,2,1,1,
a-most-wanted-man-2014_Brian Tallerico,2.5,1,1,-2,2,1,-1,1,0,-1,1,-1,-1,-1,1,0,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,
a-murder-in-the-park-2015_Godfrey Cheshire,3.5,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
a-night-in-old-mexico-2014_Sheila O&#39;Malley,1.0,-1,-1,-1,-1,-1,1,1,0,-2,1,0,1,-1,0,0,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,2,-1,0,1,1,
a-perfect-day-2016_Glenn Kenny,3.0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,0,
a-picture-of-you-2014_Brian Tallerico,2.5,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-2,1,
a-pigeon-sat-on-a-branch-reflecting-on-existence-2015_Simon Abrams,3.0,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,2,
a-quiet-passion-2017_Glenn Kenny,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,1,-1,0,-1,-1,1,1,0,1,1,2,1,2,-1,-1,1,1,1,-1,-1,-1,1,0,
a-sinner-in-mecca-2015_Omer M. Mozaffar,2.0,-2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,
a-stray-2016_Omer M. Mozaffar,4.0,1,0,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,-1,1,0,1,-1,-1,1,1,-1,-1,-1,1,
a-summers-tale-2014_Glenn Kenny,3.5,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,
a-tale-of-love-and-darkness-2016_Susan Wloszczyna,2.5,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,0,
