dawn-of-the-planet-of-the-apes-2014_Matt Zoller Seitz,3.5,1,1,-1,-1,-1,1,0,1,1,1,0,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,
devils-knot-2014_Matt Zoller Seitz,2.5,-1,-1,-1,-1,-1,2,-1,-1,1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-2,-1,-1,-1,-1,1,-1,-1,-1,0,-1,
dirty-weekend-2015_Matt Zoller Seitz,1.0,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,-1,0,
divorce-corp-2014_Matt Zoller Seitz,2.0,0,-1,0,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,0,-2,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,
do-not-resist-2016_Matt Zoller Seitz,3.0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,2,
dolores-2017_Matt Zoller Seitz,3.5,-1,1,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,-1,-1,-1,-1,-1,-1,1,1,
don-peyote-2014_Matt Zoller Seitz,0.5,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,
dunkirk-2017_Matt Zoller Seitz,3.5,2,-1,-2,-1,-1,-1,1,-1,-2,-1,0,-1,2,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,1,0,1,-1,0,1,-1,-1,1,1,-1,-1,1,-1,2,-1,-1,-1,
dying-of-the-light-2014_Matt Zoller Seitz,2.0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,-2,-1,-1,-1,
edge-of-tomorrow-2014_Matt Zoller Seitz,3.5,-1,1,1,-1,0,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,1,1,-1,0,1,1,2,-1,-1,-1,1,0,-1,-1,-1,0,1,0,-1,-1,1,1,-1,
elvis-and-nixon-2016_Matt Zoller Seitz,2.0,-1,-1,-1,-1,1,-1,-1,-2,-1,1,1,1,1,1,2,-1,-1,1,-1,-1,1,-1,-1,-2,1,1,1,-1,1,-1,1,-1,1,1,-1,0,-1,
embrace-of-the-serpent-2016_Matt Zoller Seitz,3.0,0,1,-1,2,-1,-1,1,-2,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,1,-1,-1,-1,-1,-1,
enemies-closer-2014_Matt Zoller Seitz,2.5,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,0,-1,-1,0,
equals-2016_Matt Zoller Seitz,2.5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,2,-1,2,-1,1,-1,1,1,0,1,1,-1,0,0,0,-1,1,-1,-1,1,-1,0,
evolution-of-a-criminal-2014_Matt Zoller Seitz,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,
ex-libris-new-york-public-library-2017_Matt Zoller Seitz,3.0,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,-2,1,-1,0,0,-1,-1,0,0,-1,0,-1,1,-1,0,-1,-1,-1,1,-1,-2,1,-1,-1,1,-1,-1,1,-1,-1,1,1,0,
ex-machina-2015_Matt Zoller Seitz,4.0,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-2,-2,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,2,2,2,
fantastic-four-2015_Matt Zoller Seitz,1.5,-1,-1,1,-1,-1,1,1,1,-1,0,-1,-1,1,-1,-1,-2,1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,-2,1,-1,-2,1,1,-1,-1,0,-1,1,1,-1,2,-1,1,-1,-1,-1,1,-1,
finding-fela-2014_Matt Zoller Seitz,2.5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-2,-1,1,0,-1,1,-1,1,1,
first-they-killed-my-father-2017_Matt Zoller Seitz,4.0,1,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,0,-1,-1,-2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,
flatliners-2017_Matt Zoller Seitz,1.5,-1,-1,-2,-2,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-2,-2,-1,1,
foxcatcher-2014_Matt Zoller Seitz,2.5,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-2,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-2,1,-1,-1,-1,-1,0,-1,-1,2,-1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-2,1,2,-1,-1,-1,
frank-and-lola-2016_Matt Zoller Seitz,2.0,1,1,-1,-1,1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,1,-1,
free-fire-2017_Matt Zoller Seitz,2.0,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,1,-1,-1,1,-1,2,1,1,-2,-1,-1,
