Criminal,1,1,-1,0,0,0,0,-1,-2,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,-2,-2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1,-1,-1,1,0,,,,,,,,,
Crimson Peak,2,-1,-1,-1,0,-1,1,-1,-1,1,1,0,-2,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbeline,1.5,-1,-1,-1,0,2,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,0,0,-1,0,-1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Da Sweet Blood of Jesus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddys Home 2,1,-2,-1,-1,0,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,
Daddys Home,2,-1,1,0,1,-1,-1,1,1,0,-1,-1,1,-1,1,-1,1,0,1,-1,1,-2,-1,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Danish Girl,3,-1,2,1,1,1,0,1,-1,0,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,2,1,-1,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Collins,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Night,2,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Tower,1,-1,0,-1,1,1,-1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,1,0,1,1,-1,0,1,0,-1,-1,0,-1,-1,1,1,0,,,,,,,,,,,
Dead Men Tell No Tales,3,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-2,1,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadpool,2.5,0,-1,1,1,-1,-1,-1,-1,-2,0,1,-1,0,1,0,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,
Dean,3.5,1,1,1,1,0,-1,-1,2,2,0,1,0,1,0,-1,-1,-1,-1,1,-1,0,0,1,-1,1,0,1,2,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Deepwater Horizon,3,-1,-1,-2,-1,-1,0,-1,-1,0,0,1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demolition,1.5,0,-1,-1,-1,0,-1,-1,0,1,2,1,-1,-1,-1,0,-2,-1,-1,-1,-1,-2,0,0,-1,0,0,-1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denail,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-2,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desierto,2,0,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,0,-1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dig Two Graves,3.5,1,1,-1,0,1,1,-1,-1,-1,1,0,-1,0,-1,0,-1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digging For Fire,3.5,1,-1,0,1,1,0,-1,1,1,-1,0,-1,-1,0,1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,1,-1,2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Grandpa,0,-1,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Eat Dog,3,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,0,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont Breathe,3,-2,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-2,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Drunk Stoned Brilliant Dead,3.5,-1,2,0,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,0,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunkirk,4,-1,-1,1,2,1,1,-1,1,2,1,-1,0,-1,-2,-1,-1,-2,-1,-1,1,1,-1,1,-1,-1,-1,0,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie the Eagle,3,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,2,-1,1,1,-1,-2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elstree 1976,3.5,0,-1,-1,-1,0,-2,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-2,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis and Nixon,3.5,-1,0,-1,1,0,-1,-1,0,-1,0,-1,1,2,1,1,1,0,1,-1,-1,0,1,-1,-1,-2,-1,2,1,0,-1,-1,-1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,
